Parameters,Value,Description
General Params,,
Use GPU,FALSE,Do you want to use the GPU for Dijkstra (TRUE or FALSE) (Currently not avaliable)
Algorithm,FW,Options: MSA | FW
Max Iterations for Algorithm,1000,Maximum iterations the algorithm will go to
Relative Gap,0.05,Termination value for algorithm: between 0-1
Network Check,False,Runs shortest path on empty network and records which OD pairs have a FFTT > TTobs and FFTT > FFTTobs. Saved as “NetworkCheckFFTT.csv” and “NetworkCheckTT.csv”
Network Initialization,,
File Names File,models/2023-09-19_07-49-55/.model/fileNames.csv,Path to CSV file with the location of all the necessary files
Capacity Factor (A),0.6-0.6-0.1,Min-Max-Step
Capacity Factor (F),0.7-0.7-0.1,Min-Max-Step
FFTT Factor,1-1-0.1,Min-Max-Step
Genetic Params,,
Generations,500,Number of generations to run for
Chromosones,50,Number of solutions per generation
Initial Solutions File,models/2023-09-19_07-49-55/.model/initialSolutions.csv,Path to CSV file with the location of all the initial solution values
Crossover Type,smart,Options: smart | uniform | singlePoint
Crossover Probability,0.8,Between 0-1 (Recommended 0.6-0.8)
Mutation Type,swap,Options: swap | bit | random
Mutation Probability,0.02,Between 0-1 (Recommended 0.01-0.04)
Mutation Variability,0.8,"The higher this value, the higher chance you have to mutate many demands instead of one. Between 0-1 (Recommended 0.6-0.8)"
Selection Type,tournament,Options: tournament | random
Fitness Method,ARD,Options: ARD | RMSE | PARD | VAR | LSTT | LSF | RS
Total Demand Range,5000-1500000,Initial solution demand range – Example: 10000-20000
Previous Elites,,Path to the folder where you have previous elite results saved (Leave blank if none)
Result Collection,,
Save Folder,models/2023-09-19_07-49-55/estimates,Path to the folder where you want to save the results to
