ZoneID,osmid
0,15017430
0,1363071246
0,3498136595
0,85890601
0,85807521
2,25319473
3,11297162
3,2071687
3,11297128
4,442928
4,139470345
6,31384856
6,1774541625
8,2075215
8,1485594778
8,11007703
8,10919238
8,346633485
10,3877452744
10,3074985402
10,86684589
10,11007218
10,10919252
12,34030529
12,1098659654
12,34030520
13,34030507
14,271246517
14,271246516
16,21596884
16,534905
16,940312673
16,27318980
16,2071683
18,30436908
18,264670999
18,534608
18,11769656
18,140603409
20,30409419
20,2208582202
20,30409397
20,301887305
20,206127721
22,2072802
22,344624368
22,28796761
22,33477164
22,10712397264
24,3061333822
24,33476661
24,11297673
24,32547463
25,250923558
27,149435529
27,3536865195
28,10940911
28,1277308096
28,839866356
28,21528488
30,15614141
30,248219543
30,10941037
30,221995898
30,21527804
32,248219490
32,248219433
32,536675
34,21540524
34,3148489417
34,536674
36,126667225
36,21566459
36,21527766
36,2262248282
36,10919780
38,21597988
38,21527686
38,2297619
38,21540856
40,21527762
40,21540519
40,3146686054
40,10919782
40,21552200
42,534329195
42,290077168
42,247994358
42,2287846803
44,534799
44,7117637008
44,335716505
44,534773
44,2849823382
46,18178797
46,3952754484
46,18178769
46,16574555
48,534806
48,357917181
48,24969686
48,24969610
48,311651883
50,11298793
50,27145651
50,28796755
50,6207267153
50,258315627
52,18628215
52,29138057
52,31272925
52,1800459129
52,18631911
54,84465051
56,81580581
56,81580688
58,2134245708
59,29954442
59,149440544
59,29954503
61,60395691
61,25283723
61,25269438
61,21528512
63,1629974641
63,3516121147
63,133281288
63,25269444
63,903673001
65,270909880
65,21647057
65,24945363
65,1636482042
67,2071682
67,7101166877
67,5824956622
69,1150742708
69,3840988371
69,15618026
69,3411658
69,4030574404
71,3864841571
71,2187198440
71,24953179
73,16573467
73,3846282157
73,25622934
73,3030258494
73,16573472
75,2272203032
75,1458180457
75,433065573
75,2970916282
75,3907572087
77,1762496623
77,9982673425
77,2970916246
77,11005395
79,11298154
80,3183738502
80,31353296
80,11070701
80,3183713693
80,9976058359
82,11070793
82,3183738527
84,29954400
84,1693649283
86,668019917
86,27413456
88,25281950
88,25272871
89,25096273
89,3866974284
89,3869392962
89,25096432
91,25949480
91,364757216
91,1115569637
91,3020440809
91,3043453331
93,11004892
93,25621848
95,442828559
95,151083532
97,2414808767
97,21271513
97,27254447
97,25950253
99,824109969
99,440337754
99,440369967
99,317611132
101,27410779
101,257756769
103,440337822
103,257756770
103,27410692
105,3324432576
105,1359769521
105,292884983
105,33325660
105,4862265262
107,415524744
107,31342626
109,11069422
110,2209463058
110,1874531382
111,824105653
111,29812910
111,3912609301
111,2453207682
113,773660261
113,25621090
113,3324432562
113,2454004902
115,11004470
116,11069287
116,28196757
116,78031855
117,29401767
117,8832171454
119,27252041
119,1620070195
119,1621457361
120,30752442
121,30814232
