highway,lanelength,proportion
motorway,132685.389,0.10126576453993259
motorway_link,33435.252,0.025517853788447727
primary,231857.59900000002,0.17695420124312342
primary_link,8350.17,0.006372867091556019
road,676.1479999999999,0.0005160375583037732
secondary,470997.182,0.3594660278034364
secondary_link,4505.916,0.003438924452282496
tertiary,389753.033,0.2974603245011595
tertiary_link,574.568,0.0004385114912703763
trunk,35894.992999999995,0.02739513322978258
trunk_link,1538.72,0.0011743543007051447
